idx,parent,sibling,depth,retired,done,t_entry,t_exit,cx0,cx1,cx2,cx3,hw0,hw1,hw2,hw3
300,149,299,8,0,1,6.13233,18.8496,0.499188,0.0005,0,1.73268,6.25e-05,0.0005,0.001,0.000125
301,150,302,8,0,1,6.13711,18.8496,0.499188,-0.0005,0,1.73293,6.25e-05,0.0005,0.001,0.000125
302,150,301,8,0,1,6.13711,18.8496,0.499188,0.0005,0,1.73293,6.25e-05,0.0005,0.001,0.000125
303,151,304,8,0,1,6.13418,18.8496,0.499312,-0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
304,151,303,8,0,1,6.13418,18.8496,0.499312,0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
305,152,306,8,0,1,6.14757,18.8496,0.499312,-0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
306,152,305,8,0,1,6.14757,18.8496,0.499312,0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
307,153,308,8,0,1,6.14124,18.8496,0.499438,-0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
308,153,307,8,0,1,6.14124,18.8496,0.499438,0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
309,154,310,8,0,1,6.16409,18.8496,0.499438,-0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
310,154,309,8,0,1,6.16409,18.8496,0.499438,0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
311,155,312,8,0,1,6.14343,18.8496,0.499312,-0.0005,0,1.73268,6.25e-05,0.0005,0.001,0.000125
312,155,311,8,0,1,6.14343,18.8496,0.499312,0.0005,0,1.73268,6.25e-05,0.0005,0.001,0.000125
313,156,314,8,0,1,6.16066,18.8496,0.499312,-0.0005,0,1.73293,6.25e-05,0.0005,0.001,0.000125
314,156,313,8,0,1,6.16066,18.8496,0.499312,0.0005,0,1.73293,6.25e-05,0.0005,0.001,0.000125
315,157,316,8,0,1,6.16543,18.8496,0.499438,-0.0005,0,1.73268,6.25e-05,0.0005,0.001,0.000125
316,157,315,8,0,1,6.16543,18.8496,0.499438,0.0005,0,1.73268,6.25e-05,0.0005,0.001,0.000125
317,158,318,8,0,1,6.15782,18.8496,0.499438,-0.0005,0,1.73293,6.25e-05,0.0005,0.001,0.000125
318,158,317,8,0,1,6.15782,18.8496,0.499438,0.0005,0,1.73293,6.25e-05,0.0005,0.001,0.000125
319,159,320,8,0,1,6.12591,18.8496,0.499562,-0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
320,159,319,8,0,1,6.12591,18.8496,0.499562,0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
321,160,322,8,0,1,6.14453,18.8496,0.499562,-0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
322,160,321,8,0,1,6.14453,18.8496,0.499562,0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
323,161,324,8,0,1,6.13085,18.8496,0.499688,-0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
324,161,323,8,0,1,6.13085,18.8496,0.499688,0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
325,162,326,8,0,1,6.14962,18.8496,0.499688,-0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
326,162,325,8,0,1,6.14962,18.8496,0.499688,0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
327,163,328,8,0,1,6.15169,18.8496,0.499562,-0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
328,163,327,8,0,1,6.15169,18.8496,0.499562,0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
329,164,330,8,0,1,6.15797,18.8496,0.499562,-0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
330,164,329,8,0,1,6.15797,18.8496,0.499562,0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
331,165,332,8,0,1,6.15733,18.8496,0.499688,-0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
332,165,331,8,0,1,6.15733,18.8496,0.499688,0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
333,166,334,8,0,1,6.14308,18.8496,0.499688,-0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
334,166,333,8,0,1,6.14308,18.8496,0.499688,0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
335,167,336,8,0,1,6.13543,18.8496,0.499812,-0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
336,167,335,8,0,1,6.13543,18.8496,0.499812,0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
337,168,338,8,0,1,6.14047,18.8496,0.499812,-0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
338,168,337,8,0,1,6.14047,18.8496,0.499812,0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
339,169,340,8,0,1,6.14352,18.8496,0.499937,-0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
340,169,339,8,0,1,6.14352,18.8496,0.499937,0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
341,170,342,8,0,1,6.16032,18.8496,0.499937,-0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
342,170,341,8,0,1,6.16032,18.8496,0.499937,0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
343,171,344,8,0,1,6.14901,18.8496,0.499812,-0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
344,171,343,8,0,1,6.14901,18.8496,0.499812,0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
345,172,346,8,0,1,6.15246,18.8496,0.499812,-0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
346,172,345,8,0,1,6.15246,18.8496,0.499812,0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
347,173,348,8,0,1,6.16291,18.8496,0.499937,-0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
348,173,347,8,0,1,6.16291,18.8496,0.499937,0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
349,174,350,8,0,1,6.18837,18.8496,0.499937,-0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
350,174,349,8,0,1,6.18837,18.8496,0.499937,0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
351,175,352,8,0,1,6.16451,18.8496,0.499562,-0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
352,175,351,8,0,1,6.16451,18.8496,0.499562,0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
353,176,354,8,0,1,6.15401,18.8496,0.499562,-0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
354,176,353,8,0,1,6.15401,18.8496,0.499562,0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
355,177,356,8,0,1,6.17394,18.8496,0.499688,-0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
356,177,355,8,0,1,6.17394,18.8496,0.499688,0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
357,178,358,8,0,1,6.18182,18.8496,0.499688,-0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
358,178,357,8,0,1,6.18182,18.8496,0.499688,0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
359,179,360,8,0,1,6.1806,18.8496,0.499562,-0.0005,0,1.73268,6.25e-05,0.0005,0.001,0.000125
360,179,359,8,0,1,6.1806,18.8496,0.499562,0.0005,0,1.73268,6.25e-05,0.0005,0.001,0.000125
361,180,362,8,0,1,6.18538,18.8496,0.499562,-0.0005,0,1.73293,6.25e-05,0.0005,0.001,0.000125
362,180,361,8,0,1,6.18538,18.8496,0.499562,0.0005,0,1.73293,6.25e-05,0.0005,0.001,0.000125
363,181,364,8,0,1,6.18692,18.8496,0.499688,-0.0005,0,1.73268,6.25e-05,0.0005,0.001,0.000125
364,181,363,8,0,1,6.18692,18.8496,0.499688,0.0005,0,1.73268,6.25e-05,0.0005,0.001,0.000125
365,182,366,8,0,1,6.18927,18.8496,0.499688,-0.0005,0,1.73293,6.25e-05,0.0005,0.001,0.000125
366,182,365,8,0,1,6.18927,18.8496,0.499688,0.0005,0,1.73293,6.25e-05,0.0005,0.001,0.000125
367,183,368,8,0,1,6.16633,18.8496,0.499812,-0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
368,183,367,8,0,1,6.16633,18.8496,0.499812,0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
369,184,370,8,0,1,6.16953,18.8496,0.499812,-0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
370,184,369,8,0,1,6.16953,18.8496,0.499812,0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
371,185,372,8,0,1,6.17043,18.8496,0.499937,-0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
372,185,371,8,0,1,6.17043,18.8496,0.499937,0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
373,186,374,8,0,1,6.19307,18.8496,0.499937,-0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
374,186,373,8,0,1,6.19307,18.8496,0.499937,0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
375,187,376,8,0,1,6.20338,18.8496,0.499812,-0.0005,0,1.73268,6.25e-05,0.0005,0.001,0.000125
376,187,375,8,0,1,6.20338,18.8496,0.499812,0.0005,0,1.73268,6.25e-05,0.0005,0.001,0.000125
377,188,378,8,0,1,6.21008,18.8496,0.499812,-0.0005,0,1.73293,6.25e-05,0.0005,0.001,0.000125
378,188,377,8,0,1,6.21008,18.8496,0.499812,0.0005,0,1.73293,6.25e-05,0.0005,0.001,0.000125
379,189,380,8,0,1,6.20164,18.8496,0.499937,-0.0005,0,1.73268,6.25e-05,0.0005,0.001,0.000125
380,189,379,8,0,1,6.20164,18.8496,0.499937,0.0005,0,1.73268,6.25e-05,0.0005,0.001,0.000125
381,190,382,8,0,1,6.21098,18.8496,0.499937,-0.0005,0,1.73293,6.25e-05,0.0005,0.001,0.000125
382,190,381,8,0,1,6.21098,18.8496,0.499937,0.0005,0,1.73293,6.25e-05,0.0005,0.001,0.000125
383,191,384,8,0,1,6.14623,18.8496,0.500062,-0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
384,191,383,8,0,1,6.14623,18.8496,0.500062,0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
385,192,386,8,0,1,6.16539,18.8496,0.500062,-0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
